"A00";"Kolera";;;;;;;"3";;;
"A00.0";"Kolera, Vibrio cholorea 01, biovar koleraya baðlý";;;;;;;"4";;;
"A00.1";"Kolera, Vibrio cholerae 01, biovar eltora baðlý";;;;;;;"4";;;
"A00.9";"Kolera, tanýmlanmamýþ";;;;;;;"4";;;
"A01";"Tifo ve paratifo";;;;;;;"3";;;
"A01.0";"Tifo Salmonella typhiye baðlý enfeksiyon";;;;;;;"4";;;
"A01.1";"Paratifo A";;;;;;;"4";;;
"A01.2";"Paratifo B";;;;;;;"4";;;
"A01.3";"Paratifo C";;;;;;;"4";;;
"A01.4";"Paratifo, tanýmlanmamýþ Salmonella paratyphiye baðlý enfeksiyon BÞT";;;;;;;"4";;;
"A02";"Salmonella enfeksiyonlarý, diðer";;;;;;;"3";;;
"A02.0";"Salmonella enteriti";;;;;;;"4";;;
"A02.1";"Salmonella septisemisi";;;;;;;"4";;;
"A02.2";"Salmonella enfeksiyonlarý, lokalize";;;;;;;"4";;;
"A02.8";"Salmonella enfeksiyonlarý, diðer tanýmlanmýþ";;;;;;;"4";;;
"A02.9";"Salmonella enfeksiyonu, tanýmlanmamýþ";;;;;;;"4";;;
"A03";"Þigelloz";;;;;;;"3";;;
"A03.0";"Þigelloz, Shigella dysenteriaeye baðlý";;;;;;;"4";;;
"A03.1";"Þigelloz, Shigella flexneriye baðlý";;;;;;;"4";;;
"A03.2";"Þigelloz, Shigella boydiiye baðlý";;;;;;;"4";;;
"A03.3";"Þigelloz, Shigella sonneiye baðlý";;;;;;;"4";;;
"A03.8";"Þigellozlar, diðer";;;;;;;"4";;;
"A03.9";"Þigelloz, tanýmlanmamýþ";;;;;;;"4";;;
"A04";"Bakteriyel barsak enfeksiyonlarý, diðer";;;;;;;"3";;;
"A04.0";"Enteropatojenik Escherichia coli enfeksiyonu";;;;;;;"4";;;
"A04.1";"Enterotoksijenik Escherichia coli enfeksiyonu";;;;;;;"4";;;
"A04.2";"Enteroinvaziv Escherichia coli enfeksiyonu";;;;;;;"4";;;
"A04.3";"Enterohemorajik Escherichia coli enfeksiyonu";;;;;;;"4";;;
"A04.4";"Barsak Escherichia coli enfeksiyonlarý, diðer";;;;;;;"4";;;
"A04.5";"Kampilobakter enteriti";;;;;;;"4";;;
"A04.6";"Yersinia enterocoliticaya baðlý enterit";;;;;;;"4";;;
"A04.7";"Clostridium difficileye baðlý enterokolit Clostridium difficileye baðlý gýda zehirlenmesi";;;;;;;"4";;;
"A04.8";"Bakteriyel Barsak enfeksiyonlarý, diðer tanýmlanmýþ";;;;;;;"4";;;
"A04.9";"Bakteriyel barsak enfeksiyonu, tanýmlanmamýþ";;;;;;;"4";;;
"A05";"Bakteriyel gýda zehirlenmeleri, diðer, baþka yerde sýnýflanmamýþ";;;;;;;"3";;;
"A05.0";"Gýda kökenli stafilokok zehirlenmesi";;;;;;;"4";;;
"A05.1";"Botulizm";;;;;;;"4";;;
"A05.2";"Gýda kökenli Clostridium perfringens [Clostridium welchii] zehirlenmesi";;;;;;;"4";;;
"A05.3";"Gýda kökenli Vibrio parahaemolyticus zehirlenmesi";;;;;;;"4";;;
"A05.4";"Gýda kökenli Bacillus cereus zehirlenmesi";;;;;;;"4";;;
"A05.8";"Gýda zehirlenmeleri, diðer tanýmlanmýþ";;;;;;;"4";;;
"A05.9";"Bakteriyel gýda zehirlenmesi, tanýmlanmamýþ";;;;;;;"4";;;
"A06";"Amebiyaz";;;;;;;"3";;;
"A06.0";"Akut amipli dizanteri";;;;;;;"4";;;
"A06.1";"Kronik barsak amebiyazý";;;;;;;"4";;;
"A06.2";"Dizanterik olmayan amipli kolit";;;;;;;"4";;;
"A06.3";"Ameboma, baðýrsakta";;;;;;;"4";;;
"A06.4";"Amipli karaciðer apsesi";;;;;;;"4";;;
"A06.5†";"Amipli akciðer apsesi (J99.8*)";;;;;;;"4";;;
"A06.6†";"Amipli beyin apsesi (G07*)";;;;;;;"4";;;
"A06.7";"Kutanöz amebiyaz";;;;;;;"4";;;
"A06.8";"Amip enfeksiyonu, baþka bölgelerin";;;;;;;"4";;;
"A06.9";"Amebiyaz, tanýmlanmamýþ";;;;;;;"4";;;
"A07";"Protozoal diðer barsak hastalýklarý";;;;;;;"3";;;
"A07.0";"Balantidiyaz";;;;;;;"4";;;
"A07.1";"Giardiaz [lambliaz]";;;;;;;"4";;;
"A07.2";"Kriptosporidiyoz";;;;;;;"4";;;
"A07.3";"Ýzosporiyaz";;;;;;;"4";;;
"A07.8";"Barsaðýn protozoal diðer tanýmlanmýþ hastalýklarý";;;;;;;"4";;;
"A07.9";"Barsaðýn protozoal hastalýðý, tanýmlanmamýþ";;;;;;;"4";;;
"A08";"Viral ve diðer tanýmlanmýþ barsak enfeksiyonlarý";;;;;;;"3";;;
"A08.0";"Rota virüs enteriti";;;;;;;"4";;;
"A08.1";"Norwalk ajanýna baðlý akut gastroenteropati";;;;;;;"4";;;
"A08.2";"Adenovirüs enteriti";;;;;;;"4";;;
"A08.3";"Viral enteritler, diðer";;;;;;;"4";;;
"A08.4";"Viral barsak enfeksiyonu, tanýmlanmamýþ";;;;;;;"4";;;
"A08.5";"Barsak enfeksiyonlarý diðer, tanýmlanmýþ";;;;;;;"4";;;
"A09";"Diyare ve gastroenterit, enfeksiyöz kaynaklý olduðu tahmin edilen";;;;;;;"3";;;
"A15";"Solunum yollarý tüberkülozu, bakteriyolojik ve histolojik olarak kanýtlanmýþ";;;;;;;"3";;;
"A15.0";"Akciðer tüberkülozu, kültürlü ya da kültürsüz balgam mikroskopisi ile kanýtlanmýþ";;;;;;;"4";;;
"A15.1";"Akciðer tüberkülozu, sadece kültürle kanýtlanmýþ";;;;;;;"4";;;
"A15.2";"Akciðer tüberkülozu, histolojik olarak kanýtlanmýþ";;;;;;;"4";;;
"A15.3";"Akciðer tüberkülozu, tanýmlanmamýþ yolla kanýtlanmýþ";;;;;;;"4";;;
"A15.4";"Ýntratorasik lenf nodu tüberkülozu, bakteriyolojik ve histolojik olarak kanýtlanmýþ";;;;;;;"4";;;
"A15.5";"Larinks, trakea ve bronþ tüberkülozu, bakteriyolojik ve histolojik olarak kanýtlanmýþ";;;;;;;"4";;;
"A15.6";"Tüberküloz plörezi, bakteriyolojik ve histolojik olarak kanýtlanmýþ";;;;;;;"4";;;
"A15.7";"Primer solunum yollarý tüberkülozu, bakteriyolojik ve histolojik olarak kanýtlanmýþ";;;;;;;"4";;;
"A15.8";"Solunum yollarý diðer tüberkülozu, bakteriyolojik ve histolojik olarak kanýtlanmýþ";;;;;;;"4";;;
"A15.9";"Solunum yollarý tüberkülozu tanýmlanmamýþ, bakteriyolojik ve histolojik olarak kanýtlanmýþ";;;;;;;"4";;;
"A16";"Solunum yollarý tüberkülozu, bakteriyolojik ve histolojik olarak kanýtlanmamýþ";;;;;;;"3";;;
"A16.0";"Akciðer tüberkülozu, bakteriyolojik ve histolojik olarak negatif";;;;;;;"4";;;
"A16.1";"Akciðer tüberkülozu, bakteriyolojik ve histolojik inceleme yapýlmamýþ";;;;;;;"4";;;
"A16.2";"Akciðer tüberkülozu, bakteriyolojik ya da histolojik kanýt hakkýnda bilgi verilmemiþ";;;;;;;"4";;;
"A16.3";"Ýntratorasik lenf nodlarý tüberkülozu, bakteriyolojik ya da histolojik taný konulmamýþ";;;;;;;"4";;;
"A16.4";"Larinks, trakea ve bronþ tüberkülozu, bakteriyolojik ya da histolojik taný konulmamýþ";;;;;;;"4";;;
"A16.5";"Tüberküloz plörezi, bakteriyolojik ya da histolojik taný konulmamýþ";;;;;;;"4";;;
