"A00";"ENFEKSÝYON, BAÐIRSAK , KOLERA";;;;;;;"3";;;
"A00.0";"ENFEKSÝYON, BAÐIRSAK , KOLERA; VÝBRÝO CHOLOREA 01, KOLERA TÝPÝNE BAÐLI";;;;;;;"4";;;
"A00.1";"ENFEKSÝYON, BAÐIRSAK , KOLERA; VÝBRÝO CHOLERAE 01, ELTOR TÝPÝNE BAÐLI";;;;;;;"4";;;
"A00.9";"ENFEKSÝYON, BAÐIRSAK , KOLERA, TANIMLANMAMIÞ";;;;;;;"4";;;
"A01";"ENFEKSÝYON, BAÐIRSAK , TÝFO VE PARATÝFO";;;;;;;"3";;;
"A01.0";"ENFEKSÝYON, BAÐIRSAK , TÝFO";;;;;;;"4";;;
"A01.1";"ENFEKSÝYON, BAÐIRSAK , PARATÝFO A";;;;;;;"4";;;
"A01.2";"ENFEKSÝYON, BAÐIRSAK , PARATÝFO B";;;;;;;"4";;;
"A01.3";"ENFEKSÝYON, BAÐIRSAK , PARATÝFO C";;;;;;;"4";;;
"A01.4";"ENFEKSÝYON, BAÐIRSAK , PARATÝFO, TANIMLANMAMIÞ";;;;;;;"4";;;
"A02";"ENFEKSÝYON, BAÐIRSAK , SALMONELLA DÝÐER ENFEKSÝYONLARI";;;;;;;"3";;;
"A02.0";"ENFEKSÝYON, BAÐIRSAK , SALMONELLA ENTERÝTÝ";;;;;;;"4";;;
"A02.1";"ENFEKSÝYON, SEPTÝSEMÝ (GEBELÝK HARÝÇ) , SALMONELLA SEPTÝSEMÝSÝ";;;;;;;"4";;;
"A02.2";"ENFEKSÝYON, BAÐIRSAK , SALMONELLA SINIRLI ENFEKSÝYONLARI";;;;;;;"4";;;
"A02.8";"ENFEKSÝYON, BAÐIRSAK , SALMONELLA ENFEKSÝYONLARI, DÝÐER TANIMLANMIÞ";;;;;;;"4";;;
"A02.9";"ENFEKSÝYON, BAÐIRSAK , SALMONELLA ENFEKSÝYONU, TANIMLANMAMIÞ";;;;;;;"4";;;
"A03";"ENFEKSÝYON, BAÐIRSAK , ÞÝGELLA";;;;;;;"3";;;
"A03.0";"ENFEKSÝYON, BAÐIRSAK , ÞÝGELLA, SHÝGELLA DYSENTERÝAE’YE BAÐLI";;;;;;;"4";;;
"A03.1";"ENFEKSÝYON, BAÐIRSAK , ÞÝGELLA, SHÝGELLA FLEXNERÝ’YE BAÐLI";;;;;;;"4";;;
"A03.2";"ENFEKSÝYON, BAÐIRSAK , ÞÝGELLA, SHÝGELLA BOYDÝÝ’YE BAÐLI";;;;;;;"4";;;
"A03.3";"ENFEKSÝYON, BAÐIRSAK , ÞÝGELLA, SHÝGELLA SONNEÝ’YE BAÐLI";;;;;;;"4";;;
"A03.8";"ENFEKSÝYON, BAÐIRSAK , ÞÝGELLALAR, DÝÐER";;;;;;;"4";;;
"A03.9";"ENFEKSÝYON, BAÐIRSAK , ÞÝGELLA, TANIMLANMAMIÞ";;;;;;;"4";;;
"A04";"ENFEKSÝYON, BAÐIRSAK , BAKTERÝYEL DÝÐER BAÐIRSAK ENFEKSÝYONLARI";;;;;;;"3";;;
"A04.0";"ENFEKSÝYON, BAÐIRSAK , ENTEROPATOJENÝK ESCHERÝCHÝA COLÝ ENFEKSÝYONU";;;;;;;"4";;;
"A04.1";"ENFEKSÝYON, BAÐIRSAK , ENTEROTOKSÝJENÝK ESCHERÝCHÝA COLÝ ENFEKSÝYONU";;;;;;;"4";;;
"A04.2";"ENFEKSÝYON, BAÐIRSAK , ENTEROÝNVAZÝF ESCHERÝCHÝA COLÝ ENFEKSÝYONU";;;;;;;"4";;;
"A04.3";"ENFEKSÝYON, BAÐIRSAK , ENTEROHEMORAJÝK ESCHERÝCHÝA COLÝ ENFEKSÝYONU";;;;;;;"4";;;
"A04.4";"ENFEKSÝYON, BAÐIRSAK , BAÐIRSAÐIN DÝÐER ESCHERÝCHÝA COLÝ ENFEKSÝYONLARI";;;;;;;"4";;;
"A04.5";"ENFEKSÝYON, BAÐIRSAK , KAMPÝLOBAKTER ENTERÝTÝ";;;;;;;"4";;;
"A04.6";"ENFEKSÝYON, BAÐIRSAK , YERSÝNÝA ENTEROCOLÝTÝCA ENTERÝTÝ";;;;;;;"4";;;
"A04.7";"ENFEKSÝYON, BAÐIRSAK , CLOSTRÝDÝUM DÝFFÝCÝLE ENTEROKOLÝTÝ";;;;;;;"4";;;
"A04.8";"ENFEKSÝYON, BAÐIRSAK , BAÐIRSAÐIN DÝÐER TANIMLANMIÞ BAKTERÝYEL ENFEKSÝYONLARI";;;;;;;"4";;;
"A04.9";"ENFEKSÝYON, BAÐIRSAK , BAÐIRSAÐIN TANIMLANMAMIÞ BAKTERÝYEL ENFEKSÝYON";;;;;;;"4";;;
"A05";"ENFEKSÝYON, BAÐIRSAK , BAKTERÝYEL DÝÐER GIDA ZEHÝRLENMELERÝ";;;;;;;"3";;;
"A05.0";"ENFEKSÝYON, BAÐIRSAK , GIDA KÖKENLÝ STAFÝLOKOK ZEHÝRLENMESÝ";;;;;;;"4";;;
"A05.1";"ENFEKSÝYON, BAÐIRSAK , BOTULÝZM";;;;;;;"4";;;
"A05.2";"ENFEKSÝYON, BAÐIRSAK , GIDA KÖKENLÝ CLOSTRÝDÝUM PERFRÝNGENS [CLOSTRÝDÝUM WELCHÝÝ] ZEHÝRLENMESÝ";;;;;;;"4";;;
"A05.3";"ENFEKSÝYON, BAÐIRSAK , GIDA KÖKENLÝ VÝBRÝO PARAHAEMOLYTÝCUS ZEHÝRLENMESÝ";;;;;;;"4";;;
"A05.4";"ENFEKSÝYON, BAÐIRSAK , GIDA KÖKENLÝ BACÝLLUS CEREUS ZEHÝRLENMESÝ";;;;;;;"4";;;
"A05.8";"ENFEKSÝYON, BAÐIRSAK , GIDA ZEHÝRLENMELERÝ, DÝÐER, TANIMLANMIÞ";;;;;;;"4";;;
"A05.9";"ENFEKSÝYON, BAÐIRSAK , BAKTERÝYEL TANIMLANMAMIÞ GIDA ZEHÝRLENMESÝ";;;;;;;"4";;;
"A06";"ENFEKSÝYON, BAÐIRSAK , AMÝBÝYAZ";;;;;;;"3";;;
"A06.0";"ENFEKSÝYON, BAÐIRSAK , AKUT AMÝPLÝ DÝZANTERÝ";;;;;;;"4";;;
"A06.1";"ENFEKSÝYON, BAÐIRSAK , KRONÝK BAÐIRSAK AMÝBÝYAZI";;;;;;;"4";;;
"A06.2";"ENFEKSÝYON, BAÐIRSAK , DÝZANTERÝK OLMAYAN AMÝPLÝ KOLÝT";;;;;;;"4";;;
"A06.3";"ENFEKSÝYON, BAÐIRSAK , AMEBOMA, BAÐIRSAKTA";;;;;;;"4";;;
"A06.4";"KARACÝÐER HASTALIÐI, DÝÐER , AMÝPLÝ KARACÝÐER APSESÝ";;;;;;;"4";;;
"A06.5";"ALT SOLUNUM YOLU HASTALIÐI, DÝÐER , AMÝPLÝ AKCÝÐER APSESÝ (J99.8*)";;;;;;;"4";;;
"A06.6";"SANTRAL SÝNÝR SÝSTEMÝ HATALIÐI, DÝÐER, VE POLÝYOMÝYELÝT , AMÝPLÝ BEYÝN APSESÝ (G07*)";;;;;;;"4";;;
"A06.7";"ENFEKSÝYON, DERÝ VE DERÝ ALTI DOKUSU , DERÝ AMÝBÝYAZI";;;;;;;"4";;;
"A06.8";"ENFEKSÝYON, BAÐIRSAK , AMÝB ENFEKSÝYONU, BAÞKA BÖLGELERÝN";;;;;;;"4";;;
"A06.9";"ENFEKSÝYON, BAÐIRSAK , AMÝBÝYAZ, TANIMLANMAMIÞ";;;;;;;"4";;;
"A07";"ENFEKSÝYON, BAÐIRSAK , PROTOZOAL DÝÐER BAÐIRSAK HASTALIKLARI";;;;;;;"3";;;
"A07.0";"ENFEKSÝYON, BAÐIRSAK , BALANTÝDÝYAZ";;;;;;;"4";;;
"A07.1";"ENFEKSÝYON, BAÐIRSAK , GÝYARDÝYAZ [LAMBLÝYAZ]";;;;;;;"4";;;
"A07.2";"ENFEKSÝYON, BAÐIRSAK , KRÝPTOSPORÝDÝYOZ";;;;;;;"4";;;
"A07.3";"ENFEKSÝYON, BAÐIRSAK , ÝZOSPORÝYAZ";;;;;;;"4";;;
"A07.8";"ENFEKSÝYON, BAÐIRSAK , BAÐIRSAÐIN PROTOZOAL DÝÐER TANIMLANMIÞ HASTALIKLARI";;;;;;;"4";;;
"A07.9";"ENFEKSÝYON, BAÐIRSAK , BAÐIRSAÐIN TANIMLANMAMIÞ PROTOZOAL HASTALIÐI";;;;;;;"4";;;
"A08";"ENFEKSÝYON, BAÐIRSAK , VÝRAL VE DÝÐER TANIMLANMIÞ BAÐIRSAK ENFEKSÝYONLARI";;;;;;;"3";;;
"A08.0";"ENFEKSÝYON, BAÐIRSAK , ROTAVÝRÜS ENTERÝTÝ";;;;;;;"4";;;
"A08.1";"ENFEKSÝYON, BAÐIRSAK , NORWALK ETKENÝNE BAÐLI AKUT GASTROENTEROPATÝ";;;;;;;"4";;;
"A08.2";"ENFEKSÝYON, BAÐIRSAK , ADENOVÝRÜS ENTERÝTÝ";;;;;;;"4";;;
"A08.3";"ENFEKSÝYON, BAÐIRSAK , VÝRAL DÝÐER ENTERÝTLER";;;;;;;"4";;;
"A08.4";"ENFEKSÝYON, BAÐIRSAK , VÝRAL TANIMLANMAMIÞ BAÐIRSAK ENFEKSÝYONU";;;;;;;"4";;;
"A08.5";"ENFEKSÝYON, BAÐIRSAK , BAÐIRSAÐIN DÝÐER TANIMLANMIÞ ENFEKSÝYONLARI";;;;;;;"4";;;
"A09";"ENFEKSÝYON, BAÐIRSAK , ÝSHAL VE GASTROENTERÝT, ENFEKSÝYON KAYNAKLI OLDUÐU TAHMÝN";;;;;;;"3";;;
"A15";"TUBERKÜLOZ , SOLUNUM YOLLARI TUBERKÜLOZU, BAKTERÝYOLOJÝK VE HÝSTOLOJÝK";;;;;;;"3";;;
"A15.0";"TUBERKÜLOZ , AKCÝÐER TUBERKÜLOZU, KÜLTÜRLÜ VEYA KÜLTÜRSÜZ BALGAM MÝKROSKOPÝSÝ ÝLE TEYÝT";;;;;;;"4";;;
"A15.1";"TUBERKÜLOZ , AKCÝÐER TUBERKÜLOZU, SADECE KÜLTÜRLE TEYÝT EDÝLMÝÞ";;;;;;;"4";;;
